title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"Way to go!","way-to-go-722","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Why I want to lose weight","why-i-want-to-lose-weight-723","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Getting Creative","getting-creative-724","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"One goal at a time","one-goal-at-a-time-725","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Keep trying","keep-trying-726","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Good decisions add up","good-decisions-add-up-727","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"You can cope","you-can-cope-728","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Give yourself credit","give-yourself-credit-729","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Setback? Leave it behind","setback-leave-it-behind-730","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"You know what to do","you-know-what-to-do-731","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"You are worthy","you-are-worthy-732","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Workout wisdom","workout-wisdom-733","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Don't stop thinking about tomorrow","dont-stop-thinking-about-tomorrow-734","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"You're doing OK","youre-doing-ok-735","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Renew your efforts","renew-your-efforts-736","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Focus on results","focus-on-results-737","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Small successes can bring big changes","small-successes-can-bring-big-changes-738","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Post your goals","post-your-goals-739","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Write it down","write-it-down-740","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Getting Specific with goals","getting-specific-with-goals-741","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Find your inner muse","find-your-inner-muse-742","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Goal setting? Start simple","goal-setting-start-simple-743","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Experiment with goal-setting","experiment-with-goal-setting-744","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Learn from mistakes","learn-from-mistakes-745","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Play to your strengths","play-to-your-strengths-746","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Getting Real with goal-setting","getting-real-with-goal-setting-747","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Personalize your goals","personalize-your-goals-748","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Getting Going with goal-setting","getting-going-with-goal-setting-749","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Keep a record","keep-a-record-750","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Value yourself first","value-yourself-first-751","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Making Change your new habit","making-change-your-new-habit-752","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Seeing is believing","seeing-is-believing-753","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Move more to meet your goals","move-more-to-meet-your-goals-754","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Find your motivation","find-your-motivation-755","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Own your weight-loss goals","own-your-weight-loss-goals-756","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Think actions, not outcomes","think-actions-not-outcomes-757","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Rx to quit smoking","rx-to-quit-smoking-758","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Fight a craving","fight-a-craving-759","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Tobacco-free breaks","tobacco-free-breaks-760","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Crunch your cravings","crunch-your-cravings-761","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Friendly advice","friendly-advice-762","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Break your routine","break-your-routine-763","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Run away from stress","run-away-from-stress-764","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Just breathe","just-breathe-765","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Feeling stressed?","feeling-stressed-766","Wellness tips from Mayo Clinic, featuring simple strategies for a healthy lifestyle","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Tai chi [Video Guide]","tai-chi-video-guide-767","See why tai chi is often described as meditation in motion and why it's used for stress relief.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Smoking -; anatomy of nicotine addiction [Video Guide]","smoking-anatomy-of-nicotine-addiction-video-guide-768","This animation illustrates how smoking changes your brain, causing nicotine addiction.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"Need to relax? take a break for meditation [Video Guide]","need-to-relax-take-a-break-for-meditation-video-guide-769","Meditation -; Spend a few minutes on stress reduction with this guided meditation video.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Alfredo sauce [Video Guide]","alfredo-sauce-video-guide-770","See how you can make creamy Alfredo sauce that's low in fat, thanks to skim milk and low-fat cream cheese.","FXMed Team","General Wellness","5 min read","draft","","",""
"Apple cinnamon muffins [Video Guide]","apple-cinnamon-muffins-video-guide-771","These hearty apple cinnamon muffins are made with milled oats, Greek yogurt and flaxseed. They're the perfect make-ahead breakfast.","FXMed Team","Heart Health","5 min read","draft","","",""
"Avocado aioli [Video Guide]","avocado-aioli-video-guide-772","This healthy homemade avocado aioli can be ready in less than 15 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Avocado salsa [Video Guide]","avocado-salsa-video-guide-773","Homemade avocado salsa is delicious with tortilla chips or tacos.","FXMed Team","General Wellness","5 min read","draft","","",""
"Baked hush puppies [Video Guide]","baked-hush-puppies-video-guide-774","These healthy hush puppies bake in muffin tins.","FXMed Team","General Wellness","5 min read","draft","","",""
"Baked brie envelopes [Video Guide]","baked-brie-envelopes-video-guide-775","See how to fold brie cheese and cranberries into squares of puff pastry for this baked appetizer.","FXMed Team","General Wellness","5 min read","draft","","",""
"Balsamic feta chicken [Video Guide]","balsamic-feta-chicken-video-guide-776","Add big flavor to baked chicken with a balsamic vinegar marinade and a sprinkle of feta cheese.","FXMed Team","General Wellness","5 min read","draft","","",""
"Banana oatmeal pancakes [Video Guide]","banana-oatmeal-pancakes-video-guide-777","These banana pancakes are hearty, thanks to a batter made with rolled oats, whole-wheat flour and plain yogurt.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Banana pecan compote [Video Guide]","banana-pecan-compote-video-guide-778","This sauce is a delicious combination of bananas, orange juice, vanilla, cinnamon and chopped pecans.","FXMed Team","General Wellness","5 min read","draft","","",""
"Barley risotto with asparagus [Video Guide]","barley-risotto-with-asparagus-video-guide-779","Discover how to make risotto with barley instead of the traditional white rice.","FXMed Team","General Wellness","5 min read","draft","","",""
"Basil pesto stuffed mushrooms [Video Guide]","basil-pesto-stuffed-mushrooms-video-guide-780","See how you can stuff mushroom caps with basil pesto and breadcrumbs for an easy, meatless appetizer.","FXMed Team","General Wellness","5 min read","draft","","",""
"Barbecue turkey burger [Video Guide]","barbecue-turkey-burger-video-guide-781","Watch out for the hidden ingredient in this tangy barbecue turkey burger.","FXMed Team","General Wellness","5 min read","draft","","",""
"Black bean quesadillas [Video Guide]","black-bean-quesadillas-video-guide-782","Baked black bean quesadillas can be made in less than 30 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Blackened sole [Video Guide]","blackened-sole-video-guide-783","Homemade blackening seasoning gives fresh sole a spicy kick.","FXMed Team","General Wellness","5 min read","draft","","",""
"Blueberry lavender lemonade [Video Guide]","blueberry-lavender-lemonade-video-guide-784","See how you can upgrade traditional homemade lemonade with fresh blueberries and dried lavender.","FXMed Team","General Wellness","5 min read","draft","","",""
"Broccoli with garlic and lemon [Video Guide]","broccoli-with-garlic-and-lemon-video-guide-785","Dress up weeknight broccoli with fresh garlic and lemon zest.","FXMed Team","General Wellness","5 min read","draft","","",""
"Brown-sugared pork tenderloin stir-fry [Video Guide]","brown-sugared-pork-tenderloin-stir-fry-video-guide-786","This stir-fry of pork tenderloin, green onions, bok choy and carrots is tasty and colorful.","FXMed Team","General Wellness","5 min read","draft","","",""
"Butternut squash ravioli [Video Guide]","butternut-squash-ravioli-video-guide-787","See how to make butternut squash ravioli from scratch -; it's easier than you might think!","FXMed Team","General Wellness","5 min read","draft","","",""
"Butternut squash risotto [Video Guide]","butternut-squash-risotto-video-guide-788","See how you can make risotto with brown rice and butternut squash.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: creamy butternut squash Soup","comforting-video-creamy-butternut-squash-soup-789","This butternut squash soup gets its creamy consistency by blending small amounts of soup and adding a cornstarch slurry.","FXMed Team","General Wellness","5 min read","draft","","",""
"Caramelized balsamic vinaigrette [Video Guide]","caramelized-balsamic-vinaigrette-video-guide-790","This cooked balsamic vinaigrette is thick and sweet, so a little goes a long way!","FXMed Team","General Wellness","5 min read","draft","","",""
"Caramelized onion chicken pizza [Video Guide]","caramelized-onion-chicken-pizza-video-guide-791","Discover how to make homemade chicken pizza with caramelized onions and barbecue sauce from scratch.","FXMed Team","General Wellness","5 min read","draft","","",""
"Carne asada [Video Guide]","carne-asada-video-guide-792","Carne asada is an inexpensive, delicious Latin American steak dish, featuring marinated, grilled skirt steak that is served in thin slices.","FXMed Team","General Wellness","5 min read","draft","","",""
"Chicken and zucchini quesadilla [Video Guide]","chicken-and-zucchini-quesadilla-video-guide-793","These baked chicken quesadillas are packed with zucchini, bell peppers, tomatoes, diced jalapeno peppers and fresh lime juice.","FXMed Team","General Wellness","5 min read","draft","","",""
"Chicken cordon bleu [Video Guide]","chicken-cordon-bleu-video-guide-794","See how you can add spinach to the classic stuffing for chicken cordon bleu.","FXMed Team","General Wellness","5 min read","draft","","",""
"Chicken parmesan [Video Guide]","chicken-parmesan-video-guide-795","This recipe lightens up classic chicken Parmesan by baking chicken breasts with a sprinkle of cheese.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Chicken sausage meatballs [Video Guide]","chicken-sausage-meatballs-video-guide-796","Discover how to roll meatballs with ground chicken breast, Parmesan cheese and Italian seasonings.","FXMed Team","General Wellness","5 min read","draft","","",""
"Citrus remoulade [Video Guide]","citrus-remoulade-video-guide-797","This quick citrus remoulade is made with three ingredients -; light mayonnaise, an orange and a pinch of salt.","FXMed Team","General Wellness","5 min read","draft","","",""
"Citrus seared salmon [Video Guide]","citrus-seared-salmon-video-guide-798","This seared salmon is topped with a tangy sauce of orange juice, Dijon mustard and honey.","FXMed Team","General Wellness","5 min read","draft","","",""
"Citrus vinaigrette [Video Guide]","citrus-vinaigrette-video-guide-799","See how a blender can turn orange juice concentrate, rice wine vinegar, honey, oil and fresh thyme into a bright citrus vinaigrette.","FXMed Team","General Wellness","5 min read","draft","","",""
"Coconut shrimp [Video Guide]","coconut-shrimp-video-guide-800","These crunchy, oven-baked coconut shrimp are packed with flavor, thanks to coconut milk and coconut flakes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Crab cakes [Video Guide]","crab-cakes-video-guide-801","These crab cakes are mixed with a light filling of egg whites, lemon juice, fresh dill and Old Bay seasoning. Then, they're baked instead of fried. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Cracked wheat chili [Video Guide]","cracked-wheat-chili-video-guide-802","This quick, zesty vegetarian chili is packed with bell peppers, bulgur wheat, beans, tomatoes and spices.","FXMed Team","General Wellness","5 min read","draft","","",""
"Cranberry orange muffins [Video Guide]","cranberry-orange-muffins-video-guide-803","What's for breakfast? Make-ahead muffins packed with cranberries, orange zest, Greek yogurt and flaxseed meal.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Cranberry pecan rice pilaf [Video Guide]","cranberry-pecan-rice-pilaf-video-guide-804","Reinvent brown rice with the simple addition of cranberries, pecans, fresh thyme and sauteed celery.","FXMed Team","General Wellness","5 min read","draft","","",""
"Cream of chicken and wild rice chowder [Video Guide]","cream-of-chicken-and-wild-rice-chowder-video-guide-805","See how a cornstarch slurry thickens this chicken and wild rice chowder without loads of cream.","FXMed Team","General Wellness","5 min read","draft","","",""
"Creole shrimp [Video Guide]","creole-shrimp-video-guide-806","Creole shrimp are simmered in a spicy, tomato-based sauce with homemade Creole seasoning.","FXMed Team","General Wellness","5 min read","draft","","",""
"Dijon parmesan crusted salmon [Video Guide]","dijon-parmesan-crusted-salmon-video-guide-807","See how to make a breadcrumb crust for baked salmon.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: fire roasted corn Soup","comforting-video-fire-roasted-corn-soup-808","You can make scrumptious corn soup all year long when you start by roasting corn kernels.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: french onion Soup","comforting-video-french-onion-soup-809","This classic French onion soup is easy to prepare in your own kitchen.","FXMed Team","General Wellness","5 min read","draft","","",""
"Fried rice with mushrooms [Video Guide]","fried-rice-with-mushrooms-video-guide-810","This tasty fried rice recipe combines cooked brown rice, mushrooms, peas and ginger.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Garlic cauliflower potato mash [Video Guide]","garlic-cauliflower-potato-mash-video-guide-811","See how you can mash together russet potatoes, cauliflower, Greek yogurt and fresh thyme for a tasty side dish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Grilled salmon [Video Guide]","grilled-salmon-video-guide-812","Worried about overcooking fish? This video shows a simple technique for perfectly grilled salmon.","FXMed Team","General Wellness","5 min read","draft","","",""
"Herbed asiago polenta [Video Guide]","herbed-asiago-polenta-video-guide-813","See how you can bake polenta squares flavored with Asiago cheese and fresh herbs.","FXMed Team","General Wellness","5 min read","draft","","",""
"Honey sage carrots [Video Guide]","honey-sage-carrots-video-guide-814","Watch how you can quickly embellish boiled carrots with fresh sage and honey.","FXMed Team","General Wellness","5 min read","draft","","",""
"House ranch dressing [Video Guide]","house-ranch-dressing-video-guide-815","See how the house ranch dressing at the Mayo Clinic Healthy Living Program is made. It's a perennial favorite among guests.","FXMed Team","General Wellness","5 min read","draft","","",""
"Italian meatballs [Video Guide]","italian-meatballs-video-guide-816","These Italian meatballs are the perfect make-ahead meal. You can freeze uncooked meatballs in an airtight container for up to 3 months.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Lemon pudding cakes [Video Guide]","lemon-pudding-cakes-video-guide-817","This recipe makes six individual lemon pudding cakes -; the perfect ending to your next dinner party.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Lentil ragout [Video Guide]","lentil-ragout-video-guide-818","Looking for a hearty vegetarian stew? Simmer up a pot of this red lentil ragout.","FXMed Team","Heart Health","5 min read","draft","","",""
"Marinara sauce [Video Guide]","marinara-sauce-video-guide-819","This easy homemade marinara sauce has more flavor and less salt than the jars you'll find at the grocery store.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: mushroom barley Soup","comforting-video-mushroom-barley-soup-820","This filling mushroom barley soup also includes carrots, potatoes and fresh thyme.","FXMed Team","General Wellness","5 min read","draft","","",""
"Overnight orange cinnamon baked french toast [Video Guide]","overnight-orange-cinnamon-baked-french-toast-video-guide-821","This comforting make-ahead French toast can be prepared in just 10 minutes. Refrigerate it overnight and pop it in the oven right before serving.","FXMed Team","General Wellness","5 min read","draft","","",""
"Overnight refrigerator oatmeal [Video Guide]","overnight-refrigerator-oatmeal-video-guide-822","Too busy for breakfast? Place ingredients for overnight refrigerator oatmeal in a mason jar tonight, and you'll have breakfast ready in the morning.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Parmesan roasted cauliflower [Video Guide]","parmesan-roasted-cauliflower-video-guide-823","Roasting cauliflower brings out its natural sweetness. A breadcrumb topping of Parmesan, lemon zest and fresh basil makes it even better.","FXMed Team","General Wellness","5 min read","draft","","",""
"Peanut butter hummus [Video Guide]","peanut-butter-hummus-video-guide-824","Peanut butter hummus takes just 6 ingredients and a few minutes in the food processor. This twist on traditional hummus might be your new favorite snack!","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Pecan-crusted tofu [Video Guide]","pecan-crusted-tofu-video-guide-825","New to tofu? Watch how to make this pecan-crusted version.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pico de gallo [Video Guide]","pico-de-gallo-video-guide-826","Discover how to make fresh pico de gallo with just a few minutes of chopping and a quick stir.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pita pizza [Video Guide]","pita-pizza-video-guide-827","It only takes 30 minutes to make this whole-wheat pita pizza, topped with mushrooms, pineapple, bell peppers, feta cheese and bacon bits.","FXMed Team","General Wellness","5 min read","draft","","",""
"Potato cauliflower au gratin [Video Guide]","potato-cauliflower-au-gratin-video-guide-828","See how to parboil vegetables so this potato cauliflower au gratin bakes in just 25 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pumpkin spice muffins [Video Guide]","pumpkin-spice-muffins-video-guide-829","Greek yogurt is the secret to these healthy, tender pumpkin spice muffins.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: quibebe Soup","comforting-video-quibebe-soup-830","When it's cold outside, warm up with Quibebe -; a thick South American squash stew with a spicy kick.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quinoa cakes [Video Guide]","quinoa-cakes-video-guide-831","Discover how to turn sweet potatoes, quinoa and Gruyere cheese into golden-brown, protein-packed cakes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted butternut squash fries [Video Guide]","roasted-butternut-squash-fries-video-guide-832","Roasted butternut squash fries are a delicious, healthy alternative to French fries.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted cornish hen [Video Guide]","roasted-cornish-hen-video-guide-833","See how to make roasted Cornish hen, stuffed with orange slices, garlic and fresh herbs.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted green beans [Video Guide]","roasted-green-beans-video-guide-834","Roast green beans with tomatoes, garlic, olive oil and herbs, and you may never boil them again!","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted red pepper hummus [Video Guide]","roasted-red-pepper-hummus-video-guide-835","See how easy it is to make homemade hummus with roasted red peppers.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted red bell pepper pineapple salsa [Video Guide]","roasted-red-bell-pepper-pineapple-salsa-video-guide-836","This colorful salsa, made with bell peppers and pineapple, is the perfect topping for tortilla chips or grilled fish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted red pepper pesto [Video Guide]","roasted-red-pepper-pesto-video-guide-837","This twist on traditional pesto is made with roasted red bell peppers and pumpkin seeds.","FXMed Team","General Wellness","5 min read","draft","","",""
"Seared scallops [Video Guide]","seared-scallops-video-guide-838","Perfectly cooked pan-seared scallops with olive oil and fresh herbs are ready in less than 10 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sesame ginger shrimp [Video Guide]","sesame-ginger-shrimp-video-guide-839","This sizzling skillet of sesame ginger shrimp requires less than 10 minutes of hands-on time.","FXMed Team","General Wellness","5 min read","draft","","",""
"Shepherd's pie [Video Guide]","shepherds-pie-video-guide-840","See how this classic Irish meat pie is lightened up with ground turkey breast and skim milk.","FXMed Team","General Wellness","5 min read","draft","","",""
"Shrimp kebabs [Video Guide]","shrimp-kebabs-video-guide-841","These grilled shrimp kebabs are flavored with fresh lemon juice, garlic and fresh herbs.","FXMed Team","General Wellness","5 min read","draft","","",""
"6-grain hot cereal [Video Guide]","6-grain-hot-cereal-video-guide-842","This big batch of 6-grain hot cereal is ready in about an hour with almost no hands-on time.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoked gouda and vegetable poached egg sandwich [Video Guide]","smoked-gouda-and-vegetable-poached-egg-sandwich-video-guide-843","See how to assemble this scrumptious open-faced egg sandwich with smoked Gouda cheese and roasted red peppers.","FXMed Team","Pain Management","5 min read","draft","","",""
"Smoked gouda poblano turkey burger [Video Guide]","smoked-gouda-poblano-turkey-burger-video-guide-844","See how you can boost the mild flavor of turkey burgers with tasty add-ins -; in this case, smoked Gouda cheese and roasted poblano peppers.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoked gouda vegetable risotto [Video Guide]","smoked-gouda-vegetable-risotto-video-guide-845","See how you can make risotto with brown rice. This version also includes smoked Gouda, crimini mushrooms and sweet grape tomatoes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Smoky frittata [Video Guide]","smoky-frittata-video-guide-846","See how to make this classic egg frittata, packed with cauliflower, chives and smoked gouda cheese.","FXMed Team","General Wellness","5 min read","draft","","",""
"Soba noodle stir-fry with coconut curry sauce [Video Guide]","soba-noodle-stir-fry-with-coconut-curry-sauce-video-guide-847","This quick stir-fry combines soba noodles, chicken breasts, broccoli florets, green curry paste and shredded coconut.","FXMed Team","General Wellness","5 min read","draft","","",""
"Soft chocolate cake [Video Guide]","soft-chocolate-cake-video-guide-848","See how fresh brewed coffee and plain yogurt are mixed into the batter for this soft chocolate cake.","FXMed Team","General Wellness","5 min read","draft","","",""
"Spinach and mushroom souffle [Video Guide]","spinach-and-mushroom-souffle-video-guide-849","Souffle has a reputation for being notoriously difficult. But this spinach and mushroom souffle is an exception.","FXMed Team","General Wellness","5 min read","draft","","",""
"Steak with chimichurri sauce [Video Guide]","steak-with-chimichurri-sauce-video-guide-850","Your family and friends will love steak with chimichurri sauce -; a tangy sauce from Argentina, made with parsley and garlic.","FXMed Team","General Wellness","5 min read","draft","","",""
"Strawberry mockarita [Video Guide]","strawberry-mockarita-video-guide-851","Watch how you can blend together a nonalcoholic strawberry mockarita in minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Stuffed acorn squash [Video Guide]","stuffed-acorn-squash-video-guide-852","In this meatless main dish, acorn squash is stuffed with a hearty combination of apples, celery, pecans and quinoa.","FXMed Team","Heart Health","5 min read","draft","","",""
"Stuffed quinoa peppers [Video Guide]","stuffed-quinoa-peppers-video-guide-853","These meatless stuffed peppers are packed with a hearty combination of quinoa, walnuts and fresh vegetables. ","FXMed Team","Heart Health","5 min read","draft","","",""
"Sundried tomato pesto mayo [Video Guide]","sundried-tomato-pesto-mayo-video-guide-854","See how you can make sundried tomato pesto mayonnaise with just a food processor and a few spare minutes.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Sweet potato gnocchi [Video Guide]","sweet-potato-gnocchi-video-guide-855","Need a weekend cooking project? Watch this full-proof method for making homemade sweet potato gnocchi.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sweet potato souffle [Video Guide]","sweet-potato-souffle-video-guide-856","If you think souffles are out of style, think again. This baked sweet potato side dish is an unexpected treat.","FXMed Team","General Wellness","5 min read","draft","","",""
"Thai peanut beef [Video Guide]","thai-peanut-beef-video-guide-857","Discover how you can make this popular Thai takeout dish in your own kitchen.","FXMed Team","General Wellness","5 min read","draft","","",""
"Thyme roasted beets [Video Guide]","thyme-roasted-beets-video-guide-858","Beets roasted with fresh thyme and olive oil make a sweet side dish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Tomato basil pesto sauce [Video Guide]","tomato-basil-pesto-sauce-video-guide-859","See how quickly this homemade tomato sauce comes together. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Turkey breast burgers for two [Video Guide]","turkey-breast-burgers-for-two-video-guide-860","Turkey breast burgers for two can be ready in less than 25 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Turkey pesto melt [Video Guide]","turkey-pesto-melt-video-guide-861","Take your turkey sandwich up a notch with this turkey pesto melt recipe.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Tzatziki sauce [Video Guide]","tzatziki-sauce-video-guide-862","See how to mix up traditional tzatziki sauce with Greek yogurt, grated cucumbers and fresh dill.","FXMed Team","General Wellness","5 min read","draft","","",""
"Vegetable lasagna roll-ups [Video Guide]","vegetable-lasagna-roll-ups-video-guide-863","In a dinner rut? Try vegetable lasagna roll-ups -; a fresh, fun twist on traditional lasagna.","FXMed Team","General Wellness","5 min read","draft","","",""
"Vegetable stir-fry [Video Guide]","vegetable-stir-fry-video-guide-864","Watch how you can make vegetable stir-fry at home more quickly than you can pick up takeout.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Video: white bean escarole Soup","comforting-video-white-bean-escarole-soup-865","This thick bean and escarole soup is ready in 45 minutes, but it tastes like it's been simmering all day long.","FXMed Team","General Wellness","5 min read","draft","","",""
